name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
diabetes,0.2,hamming,1500,0.01,0.01,0.01,0.01,1099,602,90072.81922006607
diabetes,0.2,mostly,1500,0.01,0.01,0.01,0.01,1096,602,89939.65447092056
diabetes,0.3,hamming,1500,0.12,0.12,0.09,0.08,1059,602,58485.07824230194
diabetes,0.3,mostly,1500,0.9,0.12,0.63,0.08,561,602,62053.39473319054
diabetes,0.4,hamming,1500,0.22,0.27,0.11,0.13,1095,602,32475.894589185715
diabetes,0.4,mostly,1500,0.69,0.27,0.33,0.13,597,602,36113.97789692879
diabetes,0.5,hamming,1500,0.27,0.36,0.15,0.2,1079,602,23664.275516033173
diabetes,0.5,mostly,1500,0.64,0.36,0.35,0.2,605,602,25941.601482868195
diabetes,0.6,hamming,1500,0.42,0.47,0.22,0.25,850,602,15609.107548475266
diabetes,0.6,mostly,1500,0.68,0.47,0.36,0.25,584,602,16260.80009150505
diabetes,0.7,hamming,1500,0.28,0.43,0.19,0.29,1098,602,3564.6897327899933
diabetes,0.8,hamming,1500,0.27,0.42,0.18,0.28,1127,602,3367.041650056839
diabetes,0.9,hamming,1500,0.01,0.01,0.0,0.0,1170,602,77804.10615110397
diabetes,0.0,none,1500,0.0,0.0,0.0,0.0,1103,602,92306.81080079079
diabetes,0.0,none,3000,0.0,0.0,0.0,0.0,1103,602,92313.60185647011
