name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
healthcare,0.2,hamming,1500,0.33,0.22,0.0,0.0,13,9,1.2351195812225342
healthcare,0.2,hamming,3000,0.33,0.22,0.0,0.0,13,9,1.2191212177276611
healthcare,0.2,hamming,4500,0.33,0.22,0.0,0.0,13,9,1.230194330215454
healthcare,0.2,mostly,1500,0.5,0.33,0.17,0.11,11,9,0.6531076431274414
healthcare,0.2,mostly,3000,0.5,0.33,0.17,0.11,11,9,0.6516070365905762
healthcare,0.2,mostly,4500,0.5,0.33,0.17,0.11,11,9,0.6536951065063477
healthcare,0.3,hamming,1500,0.8,0.44,0.6,0.33,7,9,0.4293243885040283
healthcare,0.3,hamming,3000,0.4,0.22,0.2,0.11,11,9,0.7564427852630615
healthcare,0.3,hamming,4500,0.4,0.22,0.2,0.11,11,9,0.7565736770629883
healthcare,0.3,mostly,1500,0.67,0.44,0.33,0.22,9,9,0.5611658096313477
healthcare,0.3,mostly,3000,0.67,0.44,0.33,0.22,9,9,0.5615870952606201
healthcare,0.3,mostly,4500,0.67,0.44,0.33,0.22,9,9,0.5583639144897461
healthcare,0.4,hamming,1500,0.8,0.44,0.6,0.33,7,9,0.4244711399078369
healthcare,0.4,hamming,3000,0.4,0.22,0.2,0.11,11,9,0.746229887008667
healthcare,0.4,hamming,4500,0.4,0.22,0.2,0.11,11,9,0.7510268688201904
healthcare,0.4,mostly,1500,0.67,0.44,0.33,0.22,9,9,0.5600299835205078
healthcare,0.4,mostly,3000,0.67,0.44,0.33,0.22,9,9,0.5615425109863281
healthcare,0.4,mostly,4500,0.67,0.44,0.33,0.22,9,9,0.5594217777252197
healthcare,0.5,hamming,1500,0.8,0.44,0.6,0.33,7,9,0.42439913749694824
healthcare,0.5,hamming,3000,0.4,0.22,0.2,0.11,11,9,0.7580394744873047
healthcare,0.5,hamming,4500,0.4,0.22,0.2,0.11,11,9,0.7522449493408203
healthcare,0.5,mostly,1500,0.67,0.44,0.33,0.22,9,9,0.5609397888183594
healthcare,0.5,mostly,3000,0.67,0.44,0.33,0.22,9,9,0.5600631237030029
healthcare,0.5,mostly,4500,0.67,0.44,0.33,0.22,9,9,0.5574731826782227
healthcare,0.6,hamming,1500,0.4,0.22,0.2,0.11,11,9,0.5563011169433594
healthcare,0.6,hamming,3000,0.4,0.22,0.2,0.11,11,9,0.5603206157684326
healthcare,0.6,hamming,4500,0.4,0.22,0.2,0.11,11,9,0.5649464130401611
healthcare,0.6,mostly,1500,0.57,0.44,0.14,0.11,11,9,1.820951223373413
healthcare,0.6,mostly,3000,0.57,0.44,0.14,0.11,11,9,1.8421928882598877
healthcare,0.6,mostly,4500,0.57,0.44,0.14,0.11,11,9,1.8330168724060059
healthcare,0.7,hamming,1500,0.17,0.11,0.0,0.0,14,9,1.7169249057769775
healthcare,0.7,hamming,3000,0.17,0.11,0.0,0.0,14,9,1.6569788455963135
healthcare,0.7,hamming,4500,0.17,0.11,0.0,0.0,14,9,1.6554067134857178
healthcare,0.7,mostly,1500,0.17,0.11,0.0,0.0,14,9,1.9355237483978271
healthcare,0.7,mostly,3000,0.17,0.11,0.0,0.0,14,9,1.9169580936431885
healthcare,0.7,mostly,4500,0.17,0.11,0.0,0.0,14,9,1.9137823581695557
healthcare,0.8,hamming,1500,0.17,0.11,0.0,0.0,14,9,1.6643593311309814
healthcare,0.8,hamming,3000,0.17,0.11,0.0,0.0,14,9,1.6658151149749756
healthcare,0.8,hamming,4500,0.17,0.11,0.0,0.0,14,9,1.6568782329559326
healthcare,0.8,mostly,1500,0.17,0.11,0.0,0.0,14,9,1.9179563522338867
healthcare,0.8,mostly,3000,0.17,0.11,0.0,0.0,14,9,1.920158863067627
healthcare,0.8,mostly,4500,0.17,0.11,0.0,0.0,14,9,1.921891689300537
healthcare,0.9,hamming,1500,0.17,0.11,0.0,0.0,14,9,1.6702935695648193
healthcare,0.9,hamming,3000,0.17,0.11,0.0,0.0,14,9,1.669835090637207
healthcare,0.9,hamming,4500,0.17,0.11,0.0,0.0,14,9,1.6633071899414062
healthcare,0.9,mostly,1500,0.17,0.11,0.0,0.0,14,9,1.9321303367614746
healthcare,0.9,mostly,3000,0.17,0.11,0.0,0.0,14,9,1.9120383262634277
healthcare,0.9,mostly,4500,0.17,0.11,0.0,0.0,14,9,1.9354612827301025
healthcare,0.0,none,1500,0.33,0.22,0.17,0.11,12,9,2.67292857170105
healthcare,0.0,none,3000,0.33,0.22,0.17,0.11,12,9,2.6865270137786865
healthcare,0.0,none,4500,0.33,0.22,0.17,0.11,12,9,2.666682004928589
