name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
healthcare,0.2,hamming,1500,1.0,0.11,0.0,0.0,9,9,7.497297286987305
healthcare,0.2,hamming,3000,1.0,0.11,0.0,0.0,9,9,7.5295090675354
healthcare,0.2,hamming,4500,1.0,0.11,0.0,0.0,9,9,7.50160551071167
healthcare,0.2,mostly,1500,0.67,0.22,0.33,0.11,9,9,2.1824681758880615
healthcare,0.2,mostly,3000,0.67,0.22,0.33,0.11,9,9,2.158177614212036
healthcare,0.2,mostly,4500,0.67,0.22,0.33,0.11,9,9,2.1833343505859375
healthcare,0.3,hamming,1500,1.0,0.22,0.5,0.11,8,9,12.042901754379272
healthcare,0.3,hamming,3000,1.0,0.22,0.5,0.11,8,9,12.062516212463379
healthcare,0.3,hamming,4500,1.0,0.22,0.5,0.11,8,9,12.049586772918701
healthcare,0.3,mostly,1500,0.75,0.33,0.5,0.22,8,9,1.8125171661376953
healthcare,0.3,mostly,3000,0.75,0.33,0.5,0.22,8,9,1.8198487758636475
healthcare,0.3,mostly,4500,0.75,0.33,0.5,0.22,8,9,1.82430100440979
healthcare,0.4,hamming,1500,1.0,0.22,0.5,0.11,8,9,11.995248556137085
healthcare,0.4,hamming,3000,1.0,0.22,0.5,0.11,8,9,12.053459405899048
healthcare,0.4,hamming,4500,1.0,0.22,0.5,0.11,8,9,12.087775230407715
healthcare,0.4,mostly,1500,0.75,0.33,0.5,0.22,8,9,1.8220725059509277
healthcare,0.4,mostly,3000,0.75,0.33,0.5,0.22,8,9,1.8207199573516846
healthcare,0.4,mostly,4500,0.75,0.33,0.5,0.22,8,9,1.8193809986114502
healthcare,0.5,hamming,1500,1.0,0.22,0.5,0.11,8,9,11.965186834335327
healthcare,0.5,hamming,3000,1.0,0.22,0.5,0.11,8,9,12.053158283233643
healthcare,0.5,hamming,4500,1.0,0.22,0.5,0.11,8,9,12.060168266296387
healthcare,0.5,mostly,1500,0.75,0.33,0.5,0.22,8,9,1.807706356048584
healthcare,0.5,mostly,3000,0.75,0.33,0.5,0.22,8,9,1.8171467781066895
healthcare,0.5,mostly,4500,0.75,0.33,0.5,0.22,8,9,1.8088133335113525
healthcare,0.6,hamming,1500,0.5,0.22,0.25,0.11,10,9,12.241600751876831
healthcare,0.6,hamming,3000,0.5,0.22,0.25,0.11,10,9,12.284259796142578
healthcare,0.6,hamming,4500,0.5,0.22,0.25,0.11,10,9,12.292890548706055
healthcare,0.6,mostly,1500,0.5,0.22,0.25,0.11,10,9,1.8671469688415527
healthcare,0.6,mostly,3000,0.5,0.22,0.25,0.11,10,9,1.8611931800842285
healthcare,0.6,mostly,4500,0.5,0.22,0.25,0.11,10,9,1.85874605178833
healthcare,0.7,hamming,1500,0.2,0.11,0.0,0.0,13,9,8.858315229415894
healthcare,0.7,hamming,3000,0.2,0.11,0.0,0.0,13,9,8.846215724945068
healthcare,0.7,hamming,4500,0.2,0.11,0.0,0.0,13,9,8.876380205154419
healthcare,0.7,mostly,1500,0.2,0.11,0.0,0.0,13,9,2.9876773357391357
healthcare,0.7,mostly,3000,0.2,0.11,0.0,0.0,13,9,2.9995980262756348
healthcare,0.7,mostly,4500,0.2,0.11,0.0,0.0,13,9,2.987740993499756
healthcare,0.8,hamming,1500,0.2,0.11,0.0,0.0,13,9,8.86428952217102
healthcare,0.8,hamming,3000,0.2,0.11,0.0,0.0,13,9,8.955764770507812
healthcare,0.8,hamming,4500,0.2,0.11,0.0,0.0,13,9,8.882622003555298
healthcare,0.8,mostly,1500,0.2,0.11,0.0,0.0,13,9,2.9814507961273193
healthcare,0.8,mostly,3000,0.2,0.11,0.0,0.0,13,9,2.9775006771087646
healthcare,0.8,mostly,4500,0.2,0.11,0.0,0.0,13,9,2.994673490524292
healthcare,0.9,hamming,1500,0.2,0.11,0.0,0.0,13,9,8.966725826263428
healthcare,0.9,hamming,3000,0.2,0.11,0.0,0.0,13,9,8.890029191970825
healthcare,0.9,hamming,4500,0.2,0.11,0.0,0.0,13,9,8.912797927856445
healthcare,0.9,mostly,1500,0.2,0.11,0.0,0.0,13,9,2.9936416149139404
healthcare,0.9,mostly,3000,0.2,0.11,0.0,0.0,13,9,2.987215518951416
healthcare,0.9,mostly,4500,0.2,0.11,0.0,0.0,13,9,3.0110130310058594
healthcare,0.0,none,1500,0.33,0.22,0.17,0.11,12,9,2.67292857170105
healthcare,0.0,none,3000,0.33,0.22,0.17,0.11,12,9,2.6865270137786865
healthcare,0.0,none,4500,0.33,0.22,0.17,0.11,12,9,2.666682004928589
