name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
healthcare,0.2,hamming,1500,0.44,0.78,0.19,0.33,15,9,2.715012550354004
healthcare,0.2,hamming,3000,0.5,0.89,0.31,0.56,12,9,2.7122814655303955
healthcare,0.2,hamming,4500,0.38,0.67,0.12,0.22,17,9,2.8044593334198
healthcare,0.2,mostly,1500,0.5,0.78,0.29,0.44,12,9,1.4706003665924072
healthcare,0.2,mostly,3000,0.5,0.78,0.29,0.44,12,9,1.483004093170166
healthcare,0.2,mostly,4500,0.5,0.78,0.29,0.44,12,9,1.5214200019836426
healthcare,0.3,hamming,1500,0.5,0.78,0.36,0.56,11,9,2.6299259662628174
healthcare,0.3,hamming,3000,0.5,0.78,0.21,0.33,13,9,2.6456289291381836
healthcare,0.3,hamming,4500,0.5,0.78,0.21,0.33,13,9,2.7299959659576416
healthcare,0.3,mostly,1500,0.5,0.89,0.38,0.67,11,9,3.1673858165740967
healthcare,0.3,mostly,3000,0.5,0.89,0.38,0.67,11,9,3.1742191314697266
healthcare,0.3,mostly,4500,0.44,0.78,0.25,0.44,14,9,3.1797242164611816
healthcare,0.4,hamming,1500,0.5,0.78,0.36,0.56,11,9,2.63242506980896
healthcare,0.4,hamming,3000,0.5,0.78,0.21,0.33,13,9,2.6536693572998047
healthcare,0.4,hamming,4500,0.5,0.78,0.21,0.33,13,9,2.6476070880889893
healthcare,0.4,mostly,1500,0.5,0.89,0.38,0.67,11,9,3.174593925476074
healthcare,0.4,mostly,3000,0.5,0.89,0.38,0.67,11,9,3.1713454723358154
healthcare,0.4,mostly,4500,0.44,0.78,0.25,0.44,14,9,3.191828489303589
healthcare,0.5,hamming,1500,0.5,0.78,0.36,0.56,11,9,2.6244313716888428
healthcare,0.5,hamming,3000,0.5,0.78,0.21,0.33,13,9,2.641244649887085
healthcare,0.5,hamming,4500,0.5,0.78,0.21,0.33,13,9,2.6457273960113525
healthcare,0.5,mostly,1500,0.5,0.89,0.38,0.67,11,9,3.1744143962860107
healthcare,0.5,mostly,3000,0.5,0.89,0.38,0.67,11,9,3.1555802822113037
healthcare,0.5,mostly,4500,0.44,0.78,0.25,0.44,14,9,3.1589431762695312
healthcare,0.6,hamming,1500,0.5,0.56,0.3,0.33,11,9,2.150782823562622
healthcare,0.6,hamming,3000,0.5,0.56,0.2,0.22,12,9,2.06526255607605
healthcare,0.6,hamming,4500,0.5,0.56,0.2,0.22,12,9,2.072322130203247
healthcare,0.6,mostly,1500,0.53,0.89,0.27,0.44,12,9,5.7834742069244385
healthcare,0.6,mostly,3000,0.47,0.78,0.13,0.22,15,9,5.816738605499268
healthcare,0.6,mostly,4500,0.47,0.78,0.13,0.22,15,9,5.792477369308472
healthcare,0.7,hamming,1500,0.43,0.67,0.14,0.22,15,9,2.5784518718719482
healthcare,0.7,hamming,3000,0.43,0.67,0.14,0.22,15,9,2.5536038875579834
healthcare,0.7,hamming,4500,0.43,0.67,0.14,0.22,15,9,2.552663803100586
healthcare,0.7,mostly,1500,0.4,0.67,0.07,0.11,17,9,3.418764591217041
healthcare,0.7,mostly,3000,0.4,0.67,0.07,0.11,17,9,3.4231374263763428
healthcare,0.7,mostly,4500,0.4,0.67,0.07,0.11,17,9,3.4210853576660156
healthcare,0.8,hamming,1500,0.43,0.67,0.14,0.22,15,9,2.552717447280884
healthcare,0.8,hamming,3000,0.43,0.67,0.14,0.22,15,9,2.5595030784606934
healthcare,0.8,hamming,4500,0.43,0.67,0.14,0.22,15,9,2.5551726818084717
healthcare,0.8,mostly,1500,0.4,0.67,0.07,0.11,17,9,3.437958002090454
healthcare,0.8,mostly,3000,0.4,0.67,0.07,0.11,17,9,3.4544882774353027
healthcare,0.8,mostly,4500,0.4,0.67,0.07,0.11,17,9,3.563446044921875
healthcare,0.9,hamming,1500,0.43,0.67,0.14,0.22,15,9,2.569458484649658
healthcare,0.9,hamming,3000,0.43,0.67,0.14,0.22,15,9,2.5999648571014404
healthcare,0.9,hamming,4500,0.43,0.67,0.14,0.22,15,9,2.5761351585388184
healthcare,0.9,mostly,1500,0.4,0.67,0.07,0.11,17,9,3.4387378692626953
healthcare,0.9,mostly,3000,0.4,0.67,0.07,0.11,17,9,3.459207057952881
healthcare,0.9,mostly,4500,0.4,0.67,0.07,0.11,17,9,3.4451186656951904
healthcare,0.0,none,1500,0.4,0.67,0.27,0.44,14,9,9.949059247970581
healthcare,0.0,none,3000,0.4,0.67,0.27,0.44,14,9,9.690593242645264
healthcare,0.0,none,4500,0.4,0.67,0.27,0.44,14,9,9.921247243881226
