name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
healthcare,0.2,hamming,1500,0.62,0.56,0.25,0.22,10,9,12.827607870101929
healthcare,0.2,hamming,3000,0.75,0.67,0.5,0.44,7,9,12.897078514099121
healthcare,0.2,hamming,4500,0.5,0.44,0.12,0.11,12,9,12.862882852554321
healthcare,0.2,mostly,1500,0.6,0.67,0.4,0.44,9,9,8.030227661132812
healthcare,0.2,mostly,3000,0.6,0.67,0.4,0.44,9,9,7.61577033996582
healthcare,0.2,mostly,4500,0.6,0.67,0.4,0.44,9,9,8.115634202957153
healthcare,0.3,hamming,1500,0.8,0.44,0.6,0.33,7,9,15.758764743804932
healthcare,0.3,hamming,3000,0.8,0.44,0.4,0.22,8,9,15.80082654953003
healthcare,0.3,hamming,4500,0.8,0.44,0.4,0.22,8,9,15.829018831253052
healthcare,0.3,mostly,1500,0.8,0.44,0.6,0.33,7,9,6.692084789276123
healthcare,0.3,mostly,3000,0.8,0.44,0.6,0.33,7,9,6.348199129104614
healthcare,0.3,mostly,4500,0.8,0.44,0.4,0.22,8,9,6.699626207351685
healthcare,0.4,hamming,1500,0.8,0.44,0.6,0.33,7,9,15.754137992858887
healthcare,0.4,hamming,3000,0.8,0.44,0.4,0.22,8,9,15.74777102470398
healthcare,0.4,hamming,4500,0.8,0.44,0.4,0.22,8,9,15.890278339385986
healthcare,0.4,mostly,1500,0.8,0.44,0.6,0.33,7,9,6.708566427230835
healthcare,0.4,mostly,3000,0.8,0.44,0.6,0.33,7,9,6.342709064483643
healthcare,0.4,mostly,4500,0.8,0.44,0.4,0.22,8,9,6.684028387069702
healthcare,0.5,hamming,1500,0.8,0.44,0.6,0.33,7,9,15.760465860366821
healthcare,0.5,hamming,3000,0.8,0.44,0.4,0.22,8,9,15.799149751663208
healthcare,0.5,hamming,4500,0.8,0.44,0.4,0.22,8,9,15.808228492736816
healthcare,0.5,mostly,1500,0.8,0.44,0.6,0.33,7,9,6.672271013259888
healthcare,0.5,mostly,3000,0.8,0.44,0.6,0.33,7,9,6.328125715255737
healthcare,0.5,mostly,4500,0.8,0.44,0.4,0.22,8,9,6.6933817863464355
healthcare,0.6,hamming,1500,0.57,0.44,0.43,0.33,9,9,15.169015884399414
healthcare,0.6,hamming,3000,0.57,0.44,0.29,0.22,10,9,15.212644338607788
healthcare,0.6,hamming,4500,0.57,0.44,0.29,0.22,10,9,15.288878917694092
healthcare,0.6,mostly,1500,0.57,0.44,0.43,0.33,9,9,5.147256374359131
healthcare,0.6,mostly,3000,0.57,0.44,0.29,0.22,10,9,5.141480445861816
healthcare,0.6,mostly,4500,0.57,0.44,0.29,0.22,10,9,5.149838209152222
healthcare,0.7,hamming,1500,0.42,0.56,0.08,0.11,15,9,15.950665712356567
healthcare,0.7,hamming,3000,0.42,0.56,0.08,0.11,15,9,16.19931983947754
healthcare,0.7,hamming,4500,0.42,0.56,0.08,0.11,15,9,16.378798246383667
healthcare,0.7,mostly,1500,0.42,0.56,0.08,0.11,15,9,10.309317827224731
healthcare,0.7,mostly,3000,0.42,0.56,0.08,0.11,15,9,10.616060256958008
healthcare,0.7,mostly,4500,0.42,0.56,0.08,0.11,15,9,10.631244659423828
healthcare,0.8,hamming,1500,0.42,0.56,0.08,0.11,15,9,16.025468111038208
healthcare,0.8,hamming,3000,0.42,0.56,0.08,0.11,15,9,16.302408695220947
healthcare,0.8,hamming,4500,0.42,0.56,0.08,0.11,15,9,16.329652309417725
healthcare,0.8,mostly,1500,0.42,0.56,0.08,0.11,15,9,10.308920621871948
healthcare,0.8,mostly,3000,0.42,0.56,0.08,0.11,15,9,10.581526517868042
healthcare,0.8,mostly,4500,0.42,0.56,0.08,0.11,15,9,10.58608341217041
healthcare,0.9,hamming,1500,0.42,0.56,0.08,0.11,15,9,15.91059684753418
healthcare,0.9,hamming,3000,0.42,0.56,0.08,0.11,15,9,16.2537100315094
healthcare,0.9,hamming,4500,0.42,0.56,0.08,0.11,15,9,16.337271213531494
healthcare,0.9,mostly,1500,0.42,0.56,0.08,0.11,15,9,10.312784194946289
healthcare,0.9,mostly,3000,0.42,0.56,0.08,0.11,15,9,10.597032308578491
healthcare,0.9,mostly,4500,0.42,0.56,0.08,0.11,15,9,10.585646867752075
healthcare,0.0,none,1500,0.4,0.67,0.27,0.44,14,9,9.949059247970581
healthcare,0.0,none,3000,0.4,0.67,0.27,0.44,14,9,9.690593242645264
healthcare,0.0,none,4500,0.4,0.67,0.27,0.44,14,9,9.921247243881226
