name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
hepar2,0.6,hamming,1500,0.03,0.02,0.0,0.0,189,123,1.3617019653320312
hepar2,0.6,hamming,3000,0.03,0.02,0.0,0.0,189,123,4.716953992843628
hepar2,0.6,mostly,1500,0.03,0.02,0.0,0.0,190,123,0.1730332374572754
hepar2,0.6,mostly,3000,0.03,0.02,0.0,0.0,190,123,0.39050769805908203
hepar2,0.7,hamming,1500,0.03,0.02,0.0,0.0,189,123,1.306706190109253
hepar2,0.7,hamming,3000,0.03,0.02,0.0,0.0,189,123,4.745409727096558
hepar2,0.7,mostly,1500,0.03,0.02,0.0,0.0,190,123,0.1804063320159912
hepar2,0.7,mostly,3000,0.03,0.02,0.0,0.0,190,123,0.390427827835083
hepar2,0.8,hamming,1500,0.09,0.05,0.06,0.03,179,123,13.387056350708008
hepar2,0.8,hamming,3000,0.08,0.04,0.05,0.02,181,123,8.62635588645935
hepar2,0.8,mostly,1500,0.06,0.03,0.03,0.02,186,123,0.7684602737426758
hepar2,0.8,mostly,3000,0.06,0.03,0.03,0.02,186,123,0.5524787902832031
hepar2,0.9,hamming,1500,0.08,0.04,0.02,0.01,180,123,24.276816368103027
hepar2,0.9,hamming,3000,0.08,0.04,0.02,0.01,180,123,36.417951822280884
hepar2,0.9,mostly,1500,0.07,0.04,0.01,0.01,186,123,2.942805051803589
hepar2,0.9,mostly,3000,0.07,0.04,0.01,0.01,186,123,3.544330358505249
hepar2,0.0,none,1500,0.0,0.0,0.0,0.0,192,123,231.30145168304443
hepar2,0.0,none,3000,0.0,0.0,0.0,0.0,192,123,226.5726363658905
