name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
hepar2,0.6,hamming,1500,0.04,0.02,0.0,0.0,176,123,213.23504972457886
hepar2,0.6,hamming,3000,0.1,0.02,0.0,0.0,142,123,212.03537464141846
hepar2,0.6,mostly,1500,0.03,0.02,0.0,0.0,188,123,217.84058117866516
hepar2,0.6,mostly,3000,0.03,0.02,0.0,0.0,186,123,211.56258821487427
hepar2,0.7,hamming,1500,0.04,0.02,0.0,0.0,176,123,211.49243330955505
hepar2,0.7,hamming,3000,0.1,0.02,0.0,0.0,142,123,212.13020253181458
hepar2,0.7,mostly,1500,0.03,0.02,0.0,0.0,188,123,217.9358880519867
hepar2,0.7,mostly,3000,0.03,0.02,0.0,0.0,186,123,212.4730794429779
hepar2,0.8,hamming,1500,0.67,0.03,0.33,0.02,123,123,179.7054169178009
hepar2,0.8,hamming,3000,0.17,0.03,0.08,0.02,141,123,181.1956081390381
hepar2,0.8,mostly,1500,0.06,0.03,0.03,0.02,181,123,187.79622101783752
hepar2,0.8,mostly,3000,0.06,0.03,0.03,0.02,182,123,182.35371899604797
hepar2,0.9,hamming,1500,0.33,0.04,0.07,0.01,132,123,126.6771068572998
hepar2,0.9,hamming,3000,0.17,0.04,0.03,0.01,146,123,127.54546236991882
hepar2,0.9,mostly,1500,0.09,0.04,0.02,0.01,174,123,133.3126540184021
hepar2,0.9,mostly,3000,0.1,0.04,0.02,0.01,167,123,129.08057975769043
hepar2,0.0,none,1500,0.0,0.0,0.0,0.0,192,123,231.30145168304443
hepar2,0.0,none,3000,0.0,0.0,0.0,0.0,192,123,226.5726363658905
