name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,pred_edges_len,true_edges_len,time
hepar2,0.6,hamming,1500,0.06,0.1,0.0,0.0,313,202,123,1.0671148300170898
hepar2,0.6,hamming,3000,0.07,0.12,0.02,0.03,306,202,123,1.1137197017669678
hepar2,0.6,mostly,1500,0.07,0.11,0.0,0.01,315,207,123,1.9176650047302246
hepar2,0.6,mostly,3000,0.08,0.14,0.02,0.04,308,207,123,1.9193055629730225
hepar2,0.7,hamming,1500,0.06,0.1,0.0,0.0,313,202,123,1.0651202201843262
hepar2,0.7,hamming,3000,0.07,0.12,0.02,0.03,306,202,123,1.0618970394134521
hepar2,0.7,mostly,1500,0.07,0.11,0.0,0.01,315,207,123,1.9066262245178223
hepar2,0.7,mostly,3000,0.08,0.14,0.02,0.04,308,207,123,1.9189550876617432
hepar2,0.8,hamming,1500,0.06,0.11,0.01,0.02,314,206,123,4.597604990005493
hepar2,0.8,hamming,3000,0.07,0.11,0.02,0.03,311,206,123,4.514578342437744
hepar2,0.8,mostly,1500,0.11,0.34,0.07,0.24,447,395,123,52.999866008758545
hepar2,0.8,mostly,3000,0.08,0.24,0.04,0.11,459,379,123,48.71551012992859
hepar2,0.9,hamming,1500,0.09,0.15,0.03,0.06,307,209,123,10.375162363052368
hepar2,0.9,hamming,3000,0.08,0.14,0.03,0.05,309,209,123,9.80139422416687
hepar2,0.9,mostly,1500,0.1,0.4,0.07,0.28,510,470,123,176.52437329292297
hepar2,0.9,mostly,3000,0.11,0.37,0.07,0.25,466,420,123,166.7757167816162
hepar2,0.0,none,1500,0.07,0.11,0.02,0.03,309,204,123,841.3373641967773
hepar2,0.0,none,3000,0.07,0.11,0.02,0.03,309,204,123,837.8944616317749
