name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
hepar2,0.6,hamming,3000,0.07,0.11,0.02,0.03,299,123,770.93221783638
hepar2,0.6,mostly,1500,0.06,0.1,0.0,0.0,304,123,778.5879995822906
hepar2,0.7,hamming,3000,0.07,0.11,0.02,0.03,299,123,771.682555437088
hepar2,0.7,mostly,1500,0.06,0.1,0.0,0.0,304,123,779.6128659248352
hepar2,0.8,hamming,3000,0.06,0.09,0.02,0.03,290,123,658.4486794471741
hepar2,0.8,mostly,1500,0.12,0.07,0.03,0.02,182,123,667.9541401863098
hepar2,0.9,hamming,3000,0.09,0.12,0.04,0.05,269,123,461.2823712825775
hepar2,0.9,mostly,1500,0.33,0.11,0.15,0.05,143,123,453.73529291152954
hepar2,0.0,none,1500,0.07,0.11,0.02,0.03,309,123,841.3373641967773
hepar2,0.0,none,3000,0.07,0.11,0.02,0.03,309,123,837.8944616317749
