name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
mehra,0.8,hamming,1500,0.2,0.08,0.13,0.06,91,71,5.556883096694946
mehra,0.8,hamming,3000,0.2,0.08,0.13,0.06,91,71,5.480987071990967
mehra,0.8,hamming,4500,0.2,0.08,0.13,0.06,91,71,5.514387130737305
mehra,0.8,mostly,1500,0.03,0.01,0.0,0.0,106,71,0.684088945388794
mehra,0.8,mostly,3000,0.05,0.03,0.03,0.01,108,71,1.242305040359497
mehra,0.8,mostly,4500,0.05,0.03,0.03,0.01,107,71,0.9657137393951416
mehra,0.9,hamming,1500,0.36,0.07,0.07,0.01,79,71,18.36229133605957
mehra,0.9,hamming,3000,0.36,0.07,0.14,0.03,78,71,18.368566751480103
mehra,0.9,hamming,4500,0.36,0.07,0.07,0.01,79,71,18.44580364227295
mehra,0.9,mostly,1500,0.14,0.08,0.02,0.01,107,71,12.883328199386597
mehra,0.9,mostly,3000,0.18,0.1,0.08,0.04,100,71,5.775951862335205
mehra,0.9,mostly,4500,0.18,0.1,0.05,0.03,101,71,5.777401685714722
mehra,0.0,none,1500,0.03,0.01,0.03,0.01,109,71,64.63920164108276
mehra,0.0,none,3000,0.03,0.01,0.03,0.01,109,71,68.98100638389587
mehra,0.0,none,4500,0.03,0.01,0.03,0.01,109,71,67.29448533058167
