name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
mehra,0.8,hamming,1500,1.0,0.01,0.0,0.0,71,71,46.01222777366638
mehra,0.8,hamming,3000,1.0,0.01,0.0,0.0,71,71,46.07950735092163
mehra,0.8,hamming,4500,1.0,0.01,0.0,0.0,71,71,45.818564653396606
mehra,0.8,mostly,1500,0.03,0.01,0.0,0.0,103,71,59.557053327560425
mehra,0.8,mostly,3000,0.06,0.03,0.03,0.01,102,71,64.71291065216064
mehra,0.8,mostly,4500,0.06,0.03,0.03,0.01,102,71,62.56825494766235
mehra,0.9,hamming,1500,0.71,0.07,0.14,0.01,72,71,43.13499689102173
mehra,0.9,hamming,3000,0.71,0.07,0.29,0.03,71,71,43.204320430755615
mehra,0.9,hamming,4500,0.71,0.07,0.14,0.01,72,71,42.98336744308472
mehra,0.9,mostly,1500,0.2,0.07,0.04,0.01,90,71,41.32785367965698
mehra,0.9,mostly,3000,0.25,0.08,0.12,0.04,86,71,39.861578702926636
mehra,0.9,mostly,4500,0.25,0.08,0.08,0.03,87,71,39.89560031890869
mehra,0.0,none,1500,0.03,0.01,0.03,0.01,109,71,64.63920164108276
mehra,0.0,none,3000,0.03,0.01,0.03,0.01,109,71,68.98100638389587
mehra,0.0,none,4500,0.03,0.01,0.03,0.01,109,71,67.29448533058167
