name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
mehra,0.8,hamming,1500,0.18,0.15,0.16,0.14,112,71,0.43938255310058594
mehra,0.8,hamming,3000,0.18,0.15,0.16,0.14,112,71,0.4401359558105469
mehra,0.8,hamming,4500,0.18,0.15,0.16,0.14,112,71,0.4395890235900879
mehra,0.8,mostly,1500,0.23,0.27,0.2,0.23,118,71,12.545944690704346
mehra,0.8,mostly,3000,0.23,0.27,0.2,0.23,118,71,12.501423597335815
mehra,0.8,mostly,4500,0.23,0.27,0.2,0.23,118,71,12.52042818069458
mehra,0.9,hamming,1500,0.22,0.2,0.14,0.13,111,71,10.447718858718872
mehra,0.9,hamming,3000,0.22,0.2,0.16,0.14,110,71,10.632768630981445
mehra,0.9,hamming,4500,0.24,0.21,0.14,0.13,110,71,10.237873315811157
mehra,0.9,mostly,1500,0.28,0.39,0.16,0.23,126,71,66.87651896476746
mehra,0.9,mostly,3000,0.27,0.38,0.17,0.24,126,71,65.02111101150513
mehra,0.9,mostly,4500,0.29,0.41,0.16,0.23,125,71,64.41110920906067
mehra,0.0,none,1500,0.17,0.15,0.17,0.15,115,71,148.9150128364563
mehra,0.0,none,3000,0.17,0.15,0.17,0.15,115,71,149.20726704597473
mehra,0.0,none,4500,0.17,0.15,0.17,0.15,115,71,149.15347146987915
