name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
mehra,0.8,hamming,1500,0.18,0.15,0.16,0.14,111,71,139.40170621871948
mehra,0.8,hamming,3000,0.18,0.15,0.16,0.14,111,71,139.22614693641663
mehra,0.8,hamming,4500,0.18,0.15,0.16,0.14,111,71,139.55306839942932
mehra,0.8,mostly,1500,0.18,0.11,0.16,0.1,101,71,141.42991399765015
mehra,0.8,mostly,3000,0.18,0.11,0.16,0.1,101,71,141.10793352127075
mehra,0.8,mostly,4500,0.18,0.11,0.16,0.1,101,71,141.430837392807
mehra,0.9,hamming,1500,0.24,0.15,0.13,0.08,99,71,101.78373837471008
mehra,0.9,hamming,3000,0.24,0.15,0.16,0.1,98,71,101.56952571868896
mehra,0.9,hamming,4500,0.27,0.17,0.13,0.08,98,71,102.34293913841248
mehra,0.9,mostly,1500,0.32,0.08,0.05,0.01,83,71,86.0756425857544
mehra,0.9,mostly,3000,0.32,0.08,0.11,0.03,82,71,86.77423882484436
mehra,0.9,mostly,4500,0.37,0.1,0.05,0.01,82,71,87.09112906455994
mehra,0.0,none,1500,0.17,0.15,0.17,0.15,115,71,148.9150128364563
mehra,0.0,none,3000,0.17,0.15,0.17,0.15,115,71,149.20726704597473
mehra,0.0,none,4500,0.17,0.15,0.17,0.15,115,71,149.15347146987915
