name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,pred_edges_len,true_edges_len,time
pathfinder,0.1,hamming,1500,0.02,0.01,0.0,0.0,251,57,195,368.4450001716614
pathfinder,0.1,hamming,3000,0.02,0.01,0.0,0.0,251,57,195,405.0489993095398
pathfinder,0.1,mostly,1500,0.02,0.01,0.0,0.0,245,51,195,343.25765013694763
pathfinder,0.1,mostly,3000,0.02,0.01,0.0,0.0,245,51,195,381.94315242767334
pathfinder,0.2,hamming,1500,0.02,0.01,0.0,0.0,251,57,195,361.07387018203735
pathfinder,0.2,hamming,3000,0.02,0.01,0.0,0.0,251,57,195,400.57999563217163
pathfinder,0.2,mostly,1500,0.02,0.01,0.0,0.0,244,50,195,330.05605602264404
pathfinder,0.2,mostly,3000,0.02,0.01,0.0,0.0,244,50,195,368.66749262809753
pathfinder,0.3,hamming,1500,0.04,0.01,0.02,0.01,249,57,195,354.8701927661896
pathfinder,0.3,hamming,3000,0.04,0.01,0.02,0.01,249,57,195,393.377818107605
pathfinder,0.3,mostly,1500,0.06,0.02,0.02,0.01,240,49,195,1.068260908126831
pathfinder,0.3,mostly,3000,0.04,0.01,0.02,0.01,241,49,195,349.6907682418823
pathfinder,0.4,hamming,1500,0.04,0.01,0.0,0.0,247,54,195,5.423717975616455
pathfinder,0.4,hamming,3000,0.04,0.01,0.0,0.0,247,54,195,302.1423864364624
pathfinder,0.4,mostly,1500,0.04,0.01,0.0,0.0,240,47,195,4.732367753982544
pathfinder,0.4,mostly,3000,0.04,0.01,0.0,0.0,240,47,195,271.47415471076965
pathfinder,0.5,hamming,1500,0.02,0.01,0.0,0.0,249,55,195,58.709715366363525
pathfinder,0.5,hamming,3000,0.0,0.0,0.0,0.0,250,55,195,205.66949462890625
pathfinder,0.6,hamming,1500,0.02,0.01,0.0,0.0,249,55,195,62.26103663444519
pathfinder,0.6,hamming,3000,0.02,0.01,0.0,0.0,249,55,195,89.83606696128845
pathfinder,0.7,hamming,1500,0.04,0.01,0.0,0.0,249,56,195,18.610934257507324
pathfinder,0.7,hamming,3000,0.04,0.01,0.0,0.0,249,56,195,14.990228176116943
pathfinder,0.0,none,1500,0.04,0.01,0.0,0.0,250,57,195,228.975501537323
pathfinder,0.0,none,3000,0.04,0.01,0.0,0.0,250,57,195,222.2513611316681
