name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
pathfinder,0.1,hamming,1500,0.0,0.0,0.0,0.0,200,195,51.900843143463135
pathfinder,0.1,hamming,3000,0.0,0.0,0.0,0.0,195,195,51.74670457839966
pathfinder,0.1,mostly,1500,0.0,0.0,0.0,0.0,200,195,49.83683109283447
pathfinder,0.1,mostly,3000,0.0,0.0,0.0,0.0,195,195,49.51377081871033
pathfinder,0.2,hamming,1500,0.0,0.0,0.0,0.0,201,195,49.13530731201172
pathfinder,0.2,hamming,3000,0.0,0.0,0.0,0.0,196,195,49.511690855026245
pathfinder,0.2,mostly,1500,0.0,0.0,0.0,0.0,201,195,47.07910990715027
pathfinder,0.2,mostly,3000,0.0,0.0,0.0,0.0,196,195,46.57567882537842
pathfinder,0.3,hamming,1500,0.14,0.01,0.14,0.01,200,195,46.79767417907715
pathfinder,0.3,hamming,3000,0.5,0.01,0.5,0.01,195,195,47.064220666885376
pathfinder,0.3,mostly,1500,0.5,0.01,0.5,0.01,195,195,44.08475732803345
pathfinder,0.3,mostly,3000,0.5,0.01,0.5,0.01,195,195,43.61573910713196
pathfinder,0.4,hamming,1500,0.18,0.01,0.0,0.0,204,195,28.97584867477417
pathfinder,0.4,hamming,3000,0.18,0.01,0.0,0.0,204,195,29.093417644500732
pathfinder,0.4,mostly,1500,0.18,0.01,0.0,0.0,204,195,27.144298553466797
pathfinder,0.4,mostly,3000,0.18,0.01,0.0,0.0,204,195,27.097151041030884
pathfinder,0.5,hamming,1500,0.04,0.01,0.0,0.0,222,195,19.81139039993286
pathfinder,0.5,hamming,3000,0.0,0.0,0.0,0.0,223,195,19.86601758003235
pathfinder,0.6,hamming,1500,0.02,0.01,0.0,0.0,237,195,26.929645538330078
pathfinder,0.6,hamming,3000,0.02,0.01,0.0,0.0,237,195,27.03562569618225
pathfinder,0.7,hamming,1500,0.04,0.01,0.0,0.0,247,195,53.18197751045227
pathfinder,0.7,hamming,3000,0.04,0.01,0.0,0.0,247,195,53.291239500045776
pathfinder,0.8,hamming,1500,0.04,0.01,0.0,0.0,249,195,58.52191734313965
pathfinder,0.8,hamming,3000,0.04,0.01,0.0,0.0,249,195,58.63011431694031
pathfinder,0.9,hamming,1500,0.04,0.01,0.0,0.0,249,195,58.38658785820007
pathfinder,0.9,hamming,3000,0.04,0.01,0.0,0.0,249,195,58.5057954788208
pathfinder,0.0,none,1500,0.04,0.01,0.0,0.0,250,195,228.975501537323
pathfinder,0.0,none,3000,0.04,0.01,0.0,0.0,250,195,222.2513611316681
