name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,pred_edges_len,true_edges_len,time
pathfinder,0.1,hamming,1500,0.33,0.55,0.31,0.52,311,324,195,154.80396962165833
pathfinder,0.1,hamming,3000,0.31,0.27,0.27,0.24,265,169,195,13.894273519515991
pathfinder,0.1,mostly,1500,0.33,0.55,0.31,0.52,311,324,195,154.73870420455933
pathfinder,0.1,mostly,3000,0.31,0.27,0.27,0.24,265,169,195,13.9229154586792
pathfinder,0.2,hamming,1500,0.33,0.55,0.31,0.52,312,325,195,156.151104927063
pathfinder,0.2,hamming,3000,0.31,0.27,0.27,0.24,266,170,195,14.033813238143921
pathfinder,0.2,mostly,1500,0.33,0.55,0.31,0.52,312,325,195,156.04655480384827
pathfinder,0.2,mostly,3000,0.31,0.27,0.27,0.24,266,170,195,14.046746492385864
pathfinder,0.3,hamming,1500,0.33,0.55,0.31,0.52,311,326,195,154.48079013824463
pathfinder,0.3,hamming,3000,0.32,0.28,0.27,0.24,265,171,195,14.16077208518982
pathfinder,0.3,mostly,1500,0.33,0.55,0.31,0.52,311,326,195,154.24282145500183
pathfinder,0.3,mostly,3000,0.32,0.28,0.27,0.24,265,171,195,14.18832015991211
pathfinder,0.4,hamming,1500,0.04,0.06,0.02,0.03,510,332,195,155.74295783042908
pathfinder,0.4,hamming,3000,0.05,0.05,0.01,0.01,362,177,195,15.30403447151184
pathfinder,0.4,mostly,1500,0.04,0.06,0.02,0.03,510,332,195,155.57891964912415
pathfinder,0.4,mostly,3000,0.05,0.05,0.01,0.01,362,177,195,15.338701725006104
pathfinder,0.5,hamming,1500,0.08,0.14,0.06,0.1,469,321,195,156.50005292892456
pathfinder,0.5,hamming,3000,0.13,0.12,0.1,0.09,326,172,195,18.104427099227905
pathfinder,0.5,mostly,3000,0.0,0.0,0.0,0.0,212,17,195,0.31024169921875
pathfinder,0.6,hamming,1500,0.12,0.21,0.11,0.18,442,322,195,158.38023781776428
pathfinder,0.6,hamming,3000,0.23,0.2,0.19,0.17,296,173,195,23.443663358688354
pathfinder,0.6,mostly,3000,0.0,0.0,0.0,0.0,212,17,195,0.31117963790893555
pathfinder,0.7,hamming,1500,0.2,0.28,0.18,0.25,360,267,195,109.50435900688171
pathfinder,0.7,hamming,3000,0.3,0.26,0.26,0.23,268,167,195,25.83346724510193
pathfinder,0.0,none,1500,0.32,0.53,0.3,0.49,315,319,195,1822.7147188186646
pathfinder,0.0,none,3000,0.32,0.53,0.3,0.49,315,319,195,1856.9381971359253
