file,Fault,F1,F97,F2,F78,F3,F4,F5,F53,F6,F7,F56,F8,F9,F10,F55,F52,F11,F12,F13,F14,F15,F16,F17,F18,F19,F41,F44,F20,F90,F21,F22,F23,F24,F25,F26,F27,F28,F92,F29,F98,F30,F31,F32,F33,F34,F35,F36,F37,F84,F96,F38,F39,F40,F42,F43,F45,F46,F47,F85,F48,F49,F50,F51,F83,F54,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F72,F86,F70,F71,F73,F74,F75,F76,F77,F79,F80,F81,F82,F87,F88,F89,F91,F93,F94,F95,F99,F100,F105,F101,F102,F103,F104,F106,F107,F108
coded_pathfinder_1_hamming_1500.txt,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.875,1.0,0.875,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.625,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.8125,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,1.0,0.9375
coded_pathfinder_1_hamming_1500_simple.txt,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.875,1.0,0.875,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.625,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,0.9375,0.875,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.8125,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,1.0,0.9375
coded_pathfinder_1_hamming_1500_MI.txt,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,0.8125,0.8125,0.75,1.0,1.0,0.875,0.6875,0.6875,1.0,1.0,1.0,1.0,0.8125,0.75,1.0,0.5625,1.0,1.0,1.0,0.375,0.75,0.8125,0.9375,1.0,0.5,0.875,1.0,1.0,0.9375,0.9375,0.75,0.3125,1.0,0.8125,1.0,1.0,0.8125,0.625,1.0,1.0,0.625,1.0,0.5625,0.5625,0.5,0.8125,1.0,0.4375,1.0,1.0,0.6875,0.9375,0.4375,0.875,0.8125,0.875,0.875,0.5625,1.0,0.5,0.875,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.75,0.4375,1.0,0.8125,1.0,0.8125,0.875,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,0.4375,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.4375,1.0,1.0,0.5625
coded_pathfinder_1_hamming_1500_MI_simple.txt,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,0.8125,0.8125,0.75,1.0,1.0,0.875,0.6875,0.6875,1.0,1.0,1.0,1.0,0.8125,0.75,1.0,0.5625,1.0,1.0,1.0,0.375,0.75,0.8125,0.9375,1.0,0.5,0.875,1.0,1.0,0.9375,0.9375,0.75,0.3125,1.0,0.8125,1.0,1.0,0.8125,0.625,1.0,1.0,0.625,1.0,0.5625,0.5625,0.5,0.8125,1.0,0.4375,1.0,1.0,0.6875,0.9375,0.4375,0.875,0.8125,0.875,0.875,0.5625,1.0,0.5,0.875,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.75,0.4375,1.0,0.8125,1.0,0.8125,0.875,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,0.4375,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.4375,1.0,1.0,0.5625
coded_pathfinder_1_hamming_3000.txt,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,1.0,0.8125,1.0,1.0,1.0,0.875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.875,1.0,1.0,1.0,0.75,0.8125,1.0,1.0,1.0,0.6875,1.0,1.0,1.0,1.0,0.9375,0.9375,0.8125,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.8125,1.0,0.875,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.75,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.625,1.0,1.0,0.9375
coded_pathfinder_1_hamming_3000_simple.txt,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,1.0,0.8125,1.0,1.0,1.0,0.875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.875,1.0,1.0,1.0,0.75,0.8125,1.0,1.0,1.0,0.6875,1.0,1.0,1.0,1.0,0.9375,0.9375,0.8125,1.0,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.8125,1.0,0.875,1.0,0.9375,0.875,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.75,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.625,1.0,1.0,0.9375
coded_pathfinder_1_hamming_3000_MI.txt,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,0.8125,0.8125,0.75,1.0,1.0,0.875,0.6875,0.6875,1.0,1.0,1.0,1.0,0.8125,0.75,1.0,0.5625,1.0,1.0,1.0,0.375,0.75,0.8125,0.9375,1.0,0.5,0.875,1.0,1.0,0.9375,0.9375,0.75,0.3125,1.0,0.8125,1.0,1.0,0.8125,0.625,1.0,1.0,0.625,1.0,0.5625,0.5625,0.5,0.8125,1.0,0.4375,1.0,1.0,0.6875,0.9375,0.4375,0.875,0.8125,0.875,0.875,0.5625,1.0,0.5,0.875,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.75,0.4375,1.0,0.8125,1.0,0.8125,0.875,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,0.4375,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.4375,1.0,1.0,0.5625
coded_pathfinder_1_hamming_3000_MI_simple.txt,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,0.8125,0.8125,0.75,1.0,1.0,0.875,0.6875,0.6875,1.0,1.0,1.0,1.0,0.8125,0.75,1.0,0.5625,1.0,1.0,1.0,0.375,0.75,0.8125,0.9375,1.0,0.5,0.875,1.0,1.0,0.9375,0.9375,0.75,0.3125,1.0,0.8125,1.0,1.0,0.8125,0.625,1.0,1.0,0.625,1.0,0.5625,0.5625,0.5,0.8125,1.0,0.4375,1.0,1.0,0.6875,0.9375,0.4375,0.875,0.8125,0.875,0.875,0.5625,1.0,0.5,0.875,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.75,0.4375,1.0,0.8125,1.0,0.8125,0.875,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,0.4375,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.4375,1.0,1.0,0.5625
coded_pathfinder_1_mostly_1500.txt,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.875,1.0,0.875,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.625,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,0.9375,0.875,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.8125,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,1.0,0.9375
coded_pathfinder_1_mostly_1500_simple.txt,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.875,1.0,0.875,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.625,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,1.0,0.875,1.0,0.9375,0.875,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.8125,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,1.0,0.9375
