name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
pathfinder,0.1,hamming,3000,0.32,0.25,0.27,0.21,256,195,187.07121920585632
pathfinder,0.1,mostly,1500,0.33,0.26,0.3,0.23,250,195,187.4873332977295
pathfinder,0.2,hamming,3000,0.32,0.24,0.27,0.2,255,195,177.27529406547546
pathfinder,0.2,hamming,3000,0.0,0.0,0.0,0.0,196,195,177.27529406547546
pathfinder,0.2,mostly,1500,0.33,0.25,0.3,0.22,249,195,177.60175681114197
pathfinder,0.3,hamming,3000,0.32,0.23,0.27,0.19,252,195,167.01520705223083
pathfinder,0.3,mostly,1500,0.34,0.24,0.3,0.22,246,195,167.94259881973267
pathfinder,0.4,hamming,3000,0.05,0.04,0.01,0.01,315,195,93.56968092918396
pathfinder,0.4,mostly,1500,0.07,0.05,0.03,0.02,310,195,93.75929307937622
pathfinder,0.5,hamming,3000,0.16,0.12,0.12,0.09,298,195,55.69294857978821
pathfinder,0.6,hamming,3000,0.25,0.19,0.21,0.16,275,195,85.13547873497009
pathfinder,0.7,hamming,3000,0.31,0.26,0.28,0.23,261,195,189.80784463882446
pathfinder,0.7,hamming,3000,0.12,0.07,0.08,0.05,286,195,189.80784463882446
pathfinder,0.8,hamming,3000,0.32,0.27,0.28,0.24,262,195,211.96292114257812
pathfinder,0.9,hamming,3000,0.32,0.27,0.28,0.24,262,195,211.46538543701172
pathfinder,0.0,none,1500,0.11,0.07,0.08,0.05,296,195,1822.7147188186646
pathfinder,0.0,none,3000,0.11,0.07,0.08,0.05,296,195,1856.9381971359253
pathfinder,0.0,none,1500,0.32,0.53,0.3,0.49,315,195,1822.7147188186646
pathfinder,0.0,none,3000,0.32,0.53,0.3,0.49,315,195,1856.9381971359253
