name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
sangiovese,0.8,hamming,1500,0.5,0.11,0.25,0.05,58,55,3.0638937950134277
sangiovese,0.8,hamming,3000,0.42,0.09,0.0,0.0,62,55,3.072382688522339
sangiovese,0.8,hamming,4500,0.42,0.09,0.08,0.02,61,55,3.1002681255340576
sangiovese,0.8,mostly,1500,0.35,0.15,0.22,0.09,65,55,2.8437275886535645
sangiovese,0.8,mostly,3000,0.26,0.11,0.09,0.04,70,55,2.8564565181732178
sangiovese,0.8,mostly,4500,0.3,0.13,0.17,0.07,67,55,2.86311674118042
sangiovese,0.9,hamming,1500,0.45,0.09,0.36,0.07,57,55,12.592084884643555
sangiovese,0.9,hamming,3000,0.55,0.11,0.18,0.04,58,55,1.312927484512329
sangiovese,0.9,hamming,4500,0.55,0.11,0.27,0.05,57,55,1.314033031463623
sangiovese,0.9,mostly,1500,0.56,0.16,0.38,0.11,56,55,10.084767580032349
sangiovese,0.9,mostly,3000,0.38,0.11,0.25,0.07,61,55,10.67081093788147
sangiovese,0.9,mostly,4500,0.38,0.11,0.31,0.09,60,55,9.68959665298462
sangiovese,0.0,none,1500,0.18,0.07,0.09,0.04,71,55,30.11708641052246
sangiovese,0.0,none,3000,0.18,0.07,0.09,0.04,71,55,30.164142847061157
sangiovese,0.0,none,4500,0.18,0.07,0.09,0.04,71,55,29.157878637313843
