name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
sangiovese,0.8,hamming,1500,1.0,0.04,1.0,0.04,53,55,23.839792490005493
sangiovese,0.8,hamming,3000,1.0,0.04,0.0,0.0,55,55,23.816612243652344
sangiovese,0.8,hamming,4500,1.0,0.04,0.5,0.02,54,55,23.692977905273438
sangiovese,0.8,mostly,1500,0.21,0.05,0.21,0.05,63,55,22.020526885986328
sangiovese,0.8,mostly,3000,0.21,0.05,0.07,0.02,65,55,22.281251192092896
sangiovese,0.8,mostly,4500,0.21,0.05,0.14,0.04,64,55,22.160035371780396
sangiovese,0.9,hamming,1500,0.57,0.07,0.57,0.07,54,55,24.144338369369507
sangiovese,0.9,hamming,3000,0.57,0.07,0.29,0.04,56,55,24.2932608127594
sangiovese,0.9,hamming,4500,0.57,0.07,0.43,0.05,55,55,24.178653478622437
sangiovese,0.9,mostly,1500,0.4,0.07,0.4,0.07,57,55,12.345880508422852
sangiovese,0.9,mostly,3000,0.4,0.07,0.2,0.04,59,55,12.421515226364136
sangiovese,0.9,mostly,4500,0.4,0.07,0.3,0.05,58,55,12.614729404449463
sangiovese,0.0,none,1500,0.18,0.07,0.09,0.04,71,55,30.11708641052246
sangiovese,0.0,none,3000,0.18,0.07,0.09,0.04,71,55,30.164142847061157
sangiovese,0.0,none,4500,0.18,0.07,0.09,0.04,71,55,29.157878637313843
