name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
sangiovese,0.8,hamming,1500,0.46,0.31,0.41,0.27,60,55,3.555182933807373
sangiovese,0.8,hamming,3000,0.51,0.35,0.32,0.22,61,55,3.528799057006836
sangiovese,0.8,hamming,4500,0.46,0.31,0.3,0.2,64,55,3.5343520641326904
sangiovese,0.8,mostly,1500,0.54,0.53,0.22,0.22,68,55,15.300387382507324
sangiovese,0.8,mostly,3000,0.54,0.53,0.19,0.18,70,55,15.362831830978394
sangiovese,0.8,mostly,4500,0.54,0.53,0.2,0.2,69,55,15.2782301902771
sangiovese,0.9,hamming,1500,0.51,0.33,0.4,0.25,58,55,8.120362520217896
sangiovese,0.9,hamming,3000,0.53,0.36,0.34,0.24,60,55,16.574501514434814
sangiovese,0.9,hamming,4500,0.45,0.31,0.29,0.2,65,55,17.185099601745605
sangiovese,0.9,mostly,1500,0.57,0.53,0.35,0.33,59,55,37.73907423019409
sangiovese,0.9,mostly,3000,0.56,0.51,0.28,0.25,63,55,33.73391604423523
sangiovese,0.9,mostly,4500,0.59,0.55,0.22,0.2,65,55,35.42193388938904
sangiovese,0.0,none,1500,0.41,0.29,0.26,0.18,68,55,63.568841218948364
sangiovese,0.0,none,3000,0.41,0.29,0.26,0.18,68,55,62.28611636161804
sangiovese,0.0,none,4500,0.41,0.29,0.26,0.18,68,55,62.94048094749451
