file,Treatment,SproutN,BunchN,GrapeW,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph
coded_sangiovese_8_hamming_1500.txt,0.0605,0.4372,0.3425,0.4286,0.3827,0.4093,0.3371,0.3571,0.3453,0.2,0.2701,0.3896,0.4961,0.2,0.4573
coded_sangiovese_8_hamming_1500_simple.txt,0.0605,0.4372,0.3425,0.4286,0.3827,0.4093,0.3371,0.3571,0.3453,0.2,0.2701,0.3896,0.4961,0.2,0.4573
coded_sangiovese_8_hamming_1500_MI.txt,0.0605,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2001,0.2,0.2,0.2,0.4961,0.2,0.4573
coded_sangiovese_8_hamming_1500_MI_simple.txt,0.0605,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2001,0.2,0.2,0.2,0.4961,0.2,0.4573
coded_sangiovese_8_hamming_3000.txt,0.0605,0.4279,0.3425,0.3952,0.4679,0.4452,0.2679,0.482,0.3944,0.4961,0.3188,0.394,0.2001,0.4573,0.2
coded_sangiovese_8_hamming_3000_simple.txt,0.0605,0.4279,0.3425,0.3952,0.4679,0.4452,0.2679,0.482,0.3944,0.4961,0.3188,0.394,0.2001,0.4573,0.2
coded_sangiovese_8_hamming_3000_MI.txt,0.0605,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2001,0.4961,0.2,0.2,0.2001,0.4573,0.2
coded_sangiovese_8_hamming_3000_MI_simple.txt,0.0605,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2001,0.4961,0.2,0.2,0.2001,0.4573,0.2
coded_sangiovese_8_hamming_4500.txt,0.0605,0.4372,0.3425,0.3879,0.3838,0.3743,0.3768,0.3946,0.3571,0.2,0.2701,0.3967,0.4961,0.4573,0.2
coded_sangiovese_8_hamming_4500_simple.txt,0.0605,0.4372,0.3425,0.3879,0.3838,0.3743,0.3768,0.3946,0.3571,0.2,0.2701,0.3967,0.4961,0.4573,0.2
coded_sangiovese_8_hamming_4500_MI.txt,0.0605,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2001,0.2,0.2,0.2,0.4961,0.4573,0.2
coded_sangiovese_8_hamming_4500_MI_simple.txt,0.0605,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2001,0.2,0.2,0.2,0.4961,0.4573,0.2
coded_sangiovese_8_mostly_1500.txt,0.0821,0.434,0.2,0.6025,0.5974,0.598,0.5784,0.5883,0.5825,0.224,0.5546,0.5081,0.2603,0.2785,0.2845
coded_sangiovese_8_mostly_1500_simple.txt,0.0605,0.2093,0.2,0.2824,0.2332,0.2416,0.2304,0.2343,0.227,0.2,0.2375,0.352,0.4961,0.2,0.4573
coded_sangiovese_8_mostly_1500_MI.txt,0.0821,0.2,0.2908,0.4191,0.478,0.4566,0.4203,0.3266,0.2103,0.224,0.2095,0.2113,0.2603,0.2223,0.2601
coded_sangiovese_8_mostly_1500_MI_simple.txt,0.0605,0.2,0.2393,0.2995,0.2206,0.2787,0.2555,0.2288,0.2103,0.2,0.2095,0.2113,0.4961,0.2,0.4573
coded_sangiovese_8_mostly_3000.txt,0.0821,0.434,0.2,0.6025,0.5974,0.598,0.5784,0.5883,0.5825,0.2882,0.5546,0.5081,0.2096,0.2886,0.2603
coded_sangiovese_8_mostly_3000_simple.txt,0.0605,0.2093,0.2,0.2824,0.2332,0.2416,0.2304,0.2343,0.227,0.4961,0.2375,0.352,0.2001,0.4573,0.2
coded_sangiovese_8_mostly_3000_MI.txt,0.0821,0.2,0.2908,0.4191,0.478,0.4566,0.4203,0.3266,0.2103,0.2882,0.2095,0.2113,0.2096,0.2601,0.21
coded_sangiovese_8_mostly_3000_MI_simple.txt,0.0605,0.2,0.2393,0.2995,0.2206,0.2787,0.2555,0.2288,0.2103,0.4961,0.2095,0.2113,0.2001,0.4573,0.2
coded_sangiovese_8_mostly_4500.txt,0.0821,0.434,0.2,0.6025,0.5974,0.598,0.5784,0.5883,0.5825,0.224,0.5546,0.5081,0.2603,0.2886,0.2603
coded_sangiovese_8_mostly_4500_simple.txt,0.0605,0.2093,0.2,0.2824,0.2332,0.2416,0.2304,0.2343,0.227,0.2,0.2375,0.352,0.4961,0.4573,0.2
coded_sangiovese_8_mostly_4500_MI.txt,0.0821,0.2093,0.2908,0.4191,0.478,0.4566,0.4203,0.3266,0.2103,0.224,0.2,0.2113,0.2603,0.2601,0.21
