name,alpha,code_type,samples,AP,AR,AHP,AHR,SHD,true_edges_len,time
sangiovese,0.8,hamming,1500,0.48,0.25,0.45,0.24,57,55,58.10807228088379
sangiovese,0.8,hamming,3000,0.55,0.29,0.38,0.2,57,55,57.282548666000366
sangiovese,0.8,hamming,4500,0.45,0.24,0.31,0.16,62,55,56.02597999572754
sangiovese,0.8,mostly,1500,0.33,0.07,0.33,0.07,59,55,42.85823583602905
sangiovese,0.8,mostly,3000,0.33,0.07,0.17,0.04,61,55,42.91652488708496
sangiovese,0.8,mostly,4500,0.33,0.07,0.25,0.05,60,55,42.9952232837677
sangiovese,0.9,hamming,1500,0.52,0.22,0.39,0.16,57,55,41.703983545303345
sangiovese,0.9,hamming,3000,0.52,0.22,0.3,0.13,59,55,42.08461046218872
sangiovese,0.9,hamming,4500,0.48,0.2,0.3,0.13,60,55,43.18225288391113
sangiovese,0.9,mostly,1500,0.5,0.16,0.33,0.11,58,55,26.57614278793335
sangiovese,0.9,mostly,3000,0.56,0.18,0.28,0.09,58,55,25.959304094314575
sangiovese,0.9,mostly,4500,0.47,0.15,0.24,0.07,60,55,27.798644065856934
sangiovese,0.0,none,1500,0.41,0.29,0.26,0.18,68,55,63.568841218948364
sangiovese,0.0,none,3000,0.41,0.29,0.26,0.18,68,55,62.28611636161804
sangiovese,0.0,none,4500,0.41,0.29,0.26,0.18,68,55,62.94048094749451
